id,measureUnitSystemid,name,meaureUnitTypeid,abbreviation
,2,Millimeters,1,mm
,2,Centimeters,1,cm
,2,Meters,1,m
,2,Kilometers,1,km
,2,Kilograms,2,kg
,2,Tons,2,MT
,2,Tonnes,2,t
,2,ton,2,ton
,2,Litres,3,l
,2,Cubic Meters,3,m3
,2,Kilopascals,4,kPa
,2,Megapascals,4,MPa
,2,Celsius,5,°C
,2,Kelvin,5,K
,2,l/m3,6,l/m3
,2,Kg/m3,6,kg/m3
,2,m3/scm,6,m3/scm
,2,scm/m3,6,scm/m3
,2,l/m,6,l/m
,2,lb/gal,6,lb/gal
,2,lb/sack,6,lb/sack
,2,gal/bbl,6,gal/bbl
,2,gal/gal,6,gal/gal
,2,bbl/scf,6,bbl/scf
,2,bbl/ft,6,bbl/ft
,2,scf/bbl,6,scf/bbl
,2,gal/Mgal,6,gal/Mgal
,2,lb/Mgal,6,lb/Mgal
,3,in,1,in
,3,ft,1,ft
,3,yd,1,yd
,3,mi,1,mi
,3,lb,2,lb
,3,lbs,2,lbs
,3,gal,3,gal
,3,scf,3,scf
,3,bbl,3,bbl
,3,Sacks,3,Sacks
,3,lb/sq in,4,psi
,3,°F,5,°F
,0,Percent,,%
,0,% BWOW,,% BWOW
,0,SCM,,SCM
,0,scf,,scf
,0,scm/min,,scm/min
,0,m3/min,,m3/min
,0,liters/min,,liters/min
,0,bbl/min,,bbl/min
,0,gal/min,,gal/min
,0,scf/min,,scf/min
