id,name,abbreviation,measureUnitSystemid,meaureUnitTypeid
1,Percent,%,1,7
2,Kg/m3,Kg/m3,1,7
3,l/m3,l/m3,1,7
4,% BWOW,% BWOW,1,7
5,l/m3,l/m3,1,8
6,Kg/m3,Kg/m3,1,8
7,Litres,l,1,9
8,Kilograms,kg,1,9
9,Kilograms,kg,1,10
10,Litres,l,1,10
11,Cubic Meters,m3,1,10
12,SCM,SCM,1,10
13,Tonnes,t,1,10
14,l/m3,l/m3,1,6
15,Kg/m3,Kg/m3,1,6
16,m3/scm,m3/scm,1,6
17,l/m,l/m,1,6
18,scm/m3,scm/m3,1,6
19,gal/Mgal,gal/Mgal,2,6
20,lb/Mgal,lb/Mgal,2,6
21,bbl/scf,bbl/scf,2,6
22,bbl/ft,bbl/ft,2,6
23,scf/bbl,scf/bbl,2,6
24,m3/min,m3/min,1,11
25,scm/min,scm/min,1,11
26,liters/min,liters/min,1,11
27,bbl/min,bbl/min,2,11
28,gal/min,gal/min,2,11
29,scf/min,scf/min,2,11
30,Kilopascals,kPa,1,12
31,Megapascals,MPa,1,12
32,lb/sq in,psi,1,12
33,Millimeters,mm,1,1
34,Centimeters,cm,1,1
35,Meters,m,1,1
36,Kilometers,km,1,1
37,Tons,MT,1,2
38,Kilograms,kg,1,2
39,Litres,l,1,3
40,Cubic Meters,m3,1,3
41,in,in,2,1
42,ft,ft,2,1
43,yd,yd,2,1
44,mi,mi,2,1
45,Kilograms,kg,2,2
46,ton,ton,2,2
47,gal,gal,2,3
48,scf,scf,2,3
49,bbl,bbl,2,3
50,Sacks,Sacks,2,3
51,SCM,SCM,1,13
52,Tonnes,t,1,13
53,Kilograms,kg,1,13
54,Percent,%,2,7
55,lb/Mgal,lb/Mgal,2,7
56,gal/Mgal,gal/Mgal,2,7
57,gal/bbl,gal/bbl,2,7
58,lb/gal,lb/gal,2,7
59,% BWOW,% BWOW,2,7
60,lb/sack,lb/sack,2,7
61,lb,lb,2,10
62,gal,gal,2,10
63,bbl,bbl,2,10
64,scf,scf,2,10
65,ton,ton,2,10
66,lb,lb,2,13
67,gal,gal,2,13
68,bbl,bbl,2,13
69,scf,scf,2,13
70,ton,ton,2,13
71,Sacks,Sacks,2,13
72,gal/Mgal,gal/Mgal,2,8
73,lb/Mgal,lb/Mgal,2,8
74,gal,gal,2,9
75,lbs,lbs,2,9
